Ticker,Nama,Harga_Sekarang,PER,PBV,ROE(%),DER(%),EPS
PSAB,PT J Resources Asia Pasifik Tbk,424.0,2.1303322,18434.783,53.942,12.363,199.03
PTBA,PT Bukit Asam (Persero) Tbk,2390.0,8.2439375,1.169384,14.413999,11.489,289.91
PTRO,PT Petrosea Tbk,4660.0,89.28914,179230.77,12.607999,287.471,52.19
PWON,PT Pakuwon Jati Tbk,270.0,5.3391337,0.569182,11.0240005,20.976,50.57
RAJA,PT Rukun Raharja Tbk,870.0,35.20842,87000.0,14.639,73.222,24.71
RATU,N/A,4970.0,56.496532,248500.0,24.864,106.646,87.97
SCMA,PT Surya Citra Media Tbk,198.0,13.589568,1.8372289,11.3970004,0.234,14.57
SGER,PT Sumber Global Energy Tbk,442.0,32.668144,2.955889,8.628,85.798,13.53
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,372.0,9.624838,3.3611927,32.823002,0.049,38.65
SMGR,PT Semen Indonesia (Persero) Tbk,1455.0,42.731277,0.22504777,0.438,21.137,34.05
SMIL,PT Sarana Mitra Luas Tbk,370.0,46.307888,4.200679,9.191,51.244,7.99
SMRA,PT Summarecon Agung Tbk,334.0,7.679926,0.4656259,7.928,87.736,43.49
SSIA,PT Surya Semesta Internusa Tbk,1650.0,369.95514,1.3779523,2.5090002,30.874,4.46
TAPG,PT Triputra Agro Persada Tbk,1725.0,9.478542,2.866077,30.756,8.742,181.99
TCPI,PT Transcoal Pacific Tbk,5550.0,212.72517,13.042988,6.297,58.098,26.09
TINS,PT TIMAH Tbk,3430.0,9.478542,2.5654912,30.662,11.26,361.87
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,2630.0,15.999513,1.9333545,14.213999999999999,44.115,164.38
TOBA,PT TBS Energi Utama Tbk,468.0,,21272.727,-43.063998,198.075,-240.27
TOWR,PT Sarana Menara Nusantara Tbk.,402.0,5.827776,0.8675928,16.016,162.985,68.98
TPIA,PT Chandra Asri Pacific Tbk,2100.0,5.5772448,46666.664,42.368,117.023,376.53
UNTR,PT United Tractors Tbk,25500.0,7.5357947,0.9487529,12.315,25.751,3383.85
UNVR,PT Unilever Indonesia Tbk,1685.0,17.360395,9.755957,74.291,9.027,97.06
WIFI,PT Solusi Sinergi Digital Tbk,1940.0,16.05163,1.3797773,16.141,67.37,120.86
WIRG,PT WIR ASIA Tbk,57.0,8.920188,0.80343926,8.1599995,15.134,6.39
